NUM;ID;YEAR;MONTH;DAY;HOUR;MINUTE;SECOND;DATE;DAT
E_HOUR;EVENT_VALIDITY;CAUSE_CODE;FOCAL_DEPTH;PRIMARY_MAGNITUDE;COUNTRY;STATE;LOCATION_NAME;LATITUDE;LONGITUDE;REGION_CODE;MAXIMUM_WATER_HEIGHT;ABE;IIDA;SOLOVIEV;WARNING_STATUS;DEATHS;DEATHS_DESCRIPTION;MISSING;MISSING_DESCRIPTION;INJURIES;INJURIES_DESCRIPTION;DAMAGE_MILLIONS_DOLLARS;DAMAGE_DESCRIPTION;HOUSES_DESTROYED;HOUSES_DESTROYED_DESCRIPTION;HOUSES_DAMAGED;HOUSES_DAMAGED_DESCRIPTION;TOTAL_DEATHS;TOTAL_DEATHS_DESCRIPTION;TOTAL_MISSING;TOTAL_MISSING_DESCRIPTION;TOTAL_INJURIES;TOTAL_INJURIES_DESCRIPTION;TOTAL_DAMAGE_MILLIONS_DOLLARS;TOTAL_DAMAGE_DESCRIPTION;TOTAL_HOUSES_DESTROYED;TOTAL_HOUSES_DESTROYED_DESCRIPTION;TOTAL_HOUSES_DAMAGED;TOTAL_HOUSES_DAMAGED_DESCRIPTION
4201;T112;1112;6;20;;;;1112/6/20;;2;0;;;ITALY;;CAMPANIA;40,85;14,25;50;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;
3106;T113;1114;3;12;;;;1114/3/12;;-1;1;;7;ITALY;;CALABRIAN ARC;36,5;36;50;;;;3;;;;;;;;;;;;;;;;;;;;;;;;;
99;T114;1134;10;1;;;;1134/10/1;;1;0;;;NORTH SEA;;SOUTHERN NORTH SEA;;;73;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2852;T115;1169;2;4;7;;;1169/2/4;;4;1;;7;ITALY;;EASTERN SICILY;37,3;15,03;50;;;;4;;;;;;;;;1;;;;;16000;4;;;;;;3;;3;;
3107;T116;1169;2;11;;;;1169/2/11;;3;6;;;ITALY;;CALABRIAN ARC;37,734;15,004;50;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3108;T117;1172;;;;;;;;3;1;;;ITALY;;ISLAND OF SICILY;38;15;50;;;;;;;3;;;;;;;;;;;;3;;;;;;;;;;
100;T118;1202;5;20;;;;1202/5/20;;4;3;;7,6;SYRIA;;SOUTHWESTERN SYRIA;33,5;36;50;;;;5;;;;;;;;;1;;;;;30000;4;;;;;;4;;4;;
101;T119;1222;5;;;;;;;3;1;;6,6;Cyprus;;CYPRUS;34,5;33;50;;;;4;;;;;;;;;;;;;;;;;;;;;;;;;
3478;T120;1231;3;11;;;;1231/3/11;;2;1;;6,9;TURKEY;;MARMARA SEA;41;28,6;50;;;;3;;;;;;;;;;;;;;;;;;;;;1;;1;;
104;T121;1241;5;22;;;;1241/5/22;;4;1;;7;JAPAN;;KAMAKURA, SAGAMI BAY;35,2;139,4;85;;;1;1;;;;;;;;;1;;;;;;;;;;;;1;;;;
