ID;DATE;COUNTRY
T1217;1887/2/23;ITALY
T1218;1887/5/3;MEXICO
T1219;1887/5/19;INDONESIA
T1220;1887/7/8;United States
T1221;1887/9/23;HAITI
T1222;1887/10/3;GREECE
T1223;1888/3/13;PAPUA NEW GUINEA
T1224;1888/3/21;INDONESIA
T1225;1888/4/23;NORWAY
T1226;1888/6/5;URUGUAY
T1227;1888/6/13;CHINA
T1228;1888/7/30;ITALY
T1229;1888/9/9;GREECE
T1230;1889/5/25;PHILIPPINES
T1231;1889/8/16;INDONESIA
T1232;1889/9/6;INDONESIA
T1233;1889/9/8;INDONESIA
T1234;1889/9/8;United States
T1235;1889/11/23;INDONESIA
T1236;1889/12/8;ITALY
T1237;1890/7/11;IRAN
T1238;1891/1/15;ALGERIA
T1239;1891/5/19;INDONESIA
T1240;1891/6/10;INDONESIA
T1241;1891/6/20;INDONESIA
T1242;1891/6/22;NEW ZEALAND
T1243;1891/7/30;MEXICO
T1244;1891/9/16;NEW ZEALAND
T1245;1891/10/5;INDONESIA
T1246;1891/11/29;United States
T1247;1892/1/7;INDONESIA
T1248;1892/5/16;United States
T1249;1892/5/17;INDONESIA
T1250;1892/6/7;INDONESIA
T1252;1892/11/15;ITALY
T1253;1892/11/18;INDONESIA
T1254;1892/12/9;JAPAN
T1255;1893/1/28;GREECE
T1256;1893/2/9;GREECE
T1257;1893/2/19;JAMAICA
T1258;1893/4/17;GREECE
T1259;1893/6/4;RUSSIA
T1260;1893/6/13;JAPAN
T1261;1893/6/14;ALBANIA
T1262;1893/6/21;PHILIPPINES
T1263;1893/7/31;VANUATU
T1264;1893/8/27;VANUATU
T1265;1894/3/22;JAPAN
T1266;1894/4/27;GREECE
T1267;1894/7/10;TURKEY
T1268;1894/10/22;JAPAN
T1269;1894/11/16;ITALY
T1270;1894/11/21;ATLANTIC OCEAN
T1271;1894/11/28;United States
T1273;1895/1/28;United States
T1274;1895/3/6;PAPUA NEW GUINEA
T1275;1895/3/9;United States
T1276;1895/5/25;JAPAN
T1277;1895/7/8;TURKMENISTAN
T1279;1895/8/18;NEW ZEALAND
T1280;1895/9/1;United States
T1281;1895/10/14;United States
T1282;1895/10/31;United States
T1283;1895/11/1;ITALY
T1284;1896/1/9;JAPAN
T1285;1896/6/15;JAPAN
T1286;1896/10/10;INDONESIA
T1287;1896/10/16;ITALY
T1288;1896/11/5;GREECE
T1289;1896/12/17;United States
T1291;1897/2/19;JAPAN
T1292;1897/3/15;INDONESIA
T1293;1897/4/17;United States
T1294;1897/6/12;INDIA
